event_id,user_id,session_id,product_id,quantity,price_per_unit,currency,timestamp,device_type
8c710a06-3885-4f11-bf96-401e91bd8ced,4a5ff7c3-fac4-4cb7-b346-4abcedaa322c,86dde55c-e7ed-4e0d-8a34-565e0528417f,B077291XYZ,2,78.42,USD,2025-07-04T19:40:14,mobile
d60aa755-9b9c-437c-aead-d9739b72d986,97a4e6c8-200e-4351-a471-6428fe4df048,e382d348-1017-491b-bfb5-746e9b790102,B074139XYZ,2,338.79,USD,2025-06-26T19:07:18,mobile
a29b5f75-69ea-47fc-9e26-f5b6d44d1e36,c38863f4-e248-42c1-8369-5dac93d5da62,35f320a0-3baf-45d6-a53e-a2098a5b33ce,B073769ABC,3,375.4,USD,2025-06-11T12:13:46,mobile
5952cbed-dca6-4141-b464-401bbe587b24,1a046763-0171-4da0-a402-295412fd268a,21eb8bae-de13-470e-bb32-5a6795d5c1e7,B077214PQR,4,309.6,USD,2025-06-10T11:45:55,desktop
f896af5d-8d8f-4cee-82ff-4d84e34a895b,2f00d85a-7695-41f4-8770-b339fe09180b,aa641462-58c2-4952-85c3-1350a37388b9,B075408XYZ,2,479.11,USD,2025-06-10T12:40:42,mobile
83fa4e79-44c6-4e72-a0c5-d6176d8964b8,32ac272f-b9a6-425c-b7e9-c00d474e631d,c6710cdf-74fd-47b8-be93-35c8dc16fcb8,B078301ABC,2,237.04,USD,2025-06-28T01:05:17,desktop
a9d3b00d-5c9a-4795-9821-213c04dd3353,63d6a6ec-91f4-4b2e-84a9-8dfd8f683359,b3df1270-a371-4190-985a-72ec57e4b8d3,B076730ABC,2,211.76,USD,2025-06-22T23:18:30,mobile
5adf0127-ee36-4087-848d-2225612f46fa,ef2b6237-2034-40f3-b136-a46b14478547,ec49874f-9512-479e-b2a5-1c8a838c6359,B077563PQR,4,366.51,USD,2025-07-03T04:10:32,desktop
a13f80c5-a53f-40bd-97fb-0244fe3308e2,6a3d2ef5-9ea4-4627-978d-f2b087f835bb,e82c28d2-05f8-4c49-b530-807661500e01,B075051ABC,5,168.9,USD,2025-06-19T21:03:00,mobile
d1dda841-af27-46ee-96b7-0b0bf0189753,6b02b5d3-261f-462c-983f-ac95e6eb033d,589cd598-652b-4375-a218-c75acfbb32ba,B073854PQR,5,478.05,USD,2025-06-15T16:18:09,mobile
7a956410-82c5-40e0-8bee-557c520df982,2367ae9c-762c-47e6-8e6f-1f772ed1ad92,4afc765e-4956-4d92-9786-5567231ed896,B075724PQR,2,74.43,USD,2025-06-11T08:35:54,desktop
