event_id,user_id,ad_id,campaign_id,clicked,timestamp,geo_location,device_type
74e5af8f-43f4-469b-b87a-98b04201cf7e,3cc5423a-c2d2-4ce0-9e43-9b96434d5f79,AD-6912,CAMP-430,1,2025-07-04T11:59:47,"South Maryview, Macedonia",mobile
6b3ec88c-207c-4d1a-bfd8-c366d09eb972,e3179cf0-c276-42ba-bb9b-4531bbf5dfd5,AD-4534,CAMP-663,1,2025-06-23T07:04:30,"West Jasontown, Lao People's Democratic Republic",mobile
4e69818f-8b32-4df0-9141-fe0cc9eb81e0,bd696f39-cc37-4596-b89e-f5713e85e184,AD-1915,CAMP-526,1,2025-06-11T21:50:15,"Meaganberg, Benin",desktop
b961d790-c6a8-47ed-b32f-96b476474a8b,ebe8eece-2c2f-4766-83dc-3a8ada569714,AD-1988,CAMP-322,1,2025-06-11T07:53:36,"Cruzside, British Virgin Islands",mobile
770ac893-2b05-46a8-898c-350aba9de059,030f740b-fe56-4d19-bfb3-de19fc08b316,AD-7973,CAMP-615,1,2025-07-06T02:52:04,"New Dylanfort, Niue",desktop
a219ffb6-960c-49d4-8d95-639b859d6c00,c86cdeff-0231-4ce1-a3cc-457f298d50b2,AD-3040,CAMP-384,1,2025-06-20T20:32:43,"New Courtneyfort, Macao",desktop
58dbd0e5-d997-4c54-823d-8954396ceb52,07b95e2c-8958-4f01-951b-e04ae9190d35,AD-7619,CAMP-676,1,2025-07-02T07:52:30,"Hartmanborough, Timor-Leste",desktop
3bed0ad1-5b6f-4b02-b339-f819714ba924,abc8aa9e-0997-4b01-bf5f-4f9eb1016dca,AD-4415,CAMP-517,1,2025-06-17T13:51:06,"West Kathleenview, Algeria",desktop
11e1801a-acb9-4fa4-97e5-a8c7b49f9c39,ff7c3909-9b07-4296-bf2c-823162091192,AD-3015,CAMP-108,1,2025-06-17T03:33:10,"East Karaburgh, Mozambique",mobile
3e5f2151-13fe-40c4-929b-ec3f8b728b27,5ee0317e-0458-4388-94f6-d0d7b2985156,AD-7913,CAMP-871,1,2025-07-01T22:10:20,"Port Donna, French Polynesia",desktop
b46e5e75-77e5-4a67-983d-62437a26aa4d,82f23cbb-47a5-469b-bcbb-650fbbd685b5,AD-1264,CAMP-380,1,2025-06-24T22:08:50,"West Juliaside, Ecuador",mobile
ba9d8fa1-cf00-4f27-9bb9-8a51b7823e7a,fdf1b8ec-82af-4b32-8048-31549af6f220,AD-1762,CAMP-123,1,2025-07-01T09:39:46,"Rebeccafort, Saint Kitts and Nevis",desktop
a08cb21f-33fa-44a8-bf35-96350fa37454,21d80c4c-1758-4a57-89d7-0775178cce01,AD-8209,CAMP-463,1,2025-06-14T13:22:46,"New Katherine, Sudan",mobile
f4a33fc1-7d8a-4b20-a1bd-78007042f5e8,8b9894bf-ade5-49d0-bed4-4ddfac2fb482,AD-2728,CAMP-433,1,2025-06-27T17:15:32,"Charleneberg, Denmark",desktop
23a12561-a5ac-47dd-9386-b4ecd278d703,d059846e-c3a8-4f6c-a2c5-c0689d33c0af,AD-2079,CAMP-419,1,2025-07-04T06:35:25,"Gardnermouth, Brunei Darussalam",mobile
7ca8531d-e0af-43ad-adb3-e016e24632c5,ef91b18f-b444-4602-ac31-d3a5a38b0381,AD-9195,CAMP-567,1,2025-06-28T10:39:32,"Lake Audreyville, Belarus",desktop
89cb408e-e979-4935-8257-93256593e14b,a2d580b7-a155-48e0-a9c8-40487a06f0ad,AD-7324,CAMP-646,1,2025-06-11T18:54:26,"Mcfarlandshire, Kyrgyz Republic",desktop
d174ae89-1547-4874-a939-192bddd2607a,7fb6a0ac-66a3-43cb-8bd3-e0a3a9042bda,AD-5388,CAMP-775,1,2025-06-27T15:40:04,"Ricardotown, Saudi Arabia",desktop
1c078c15-20c5-4376-b088-8813156df514,06c69f7b-0710-4b90-bb0a-6e41520d0be2,AD-6635,CAMP-577,1,2025-06-07T06:45:44,"Brownfort, Saint Kitts and Nevis",mobile
9f5027e7-3eb8-48a9-9882-4ed5fc72c44b,ca7bfd2e-2037-4d7f-9ade-33da782013a1,AD-2450,CAMP-235,1,2025-06-19T10:19:00,"North Melissa, Singapore",mobile
66b6bb5b-7f1d-46ce-b3d3-96db5b0cbc1c,fb0bf4b4-0cda-47d4-957f-3e225c5b85ca,AD-8807,CAMP-775,1,2025-07-02T08:23:23,"Elizabethfurt, Cuba",mobile
c77fb958-f0bc-4bc3-af5d-bae2f795e906,72986a25-44f1-47ba-a837-8f2f0ff1a92c,AD-9031,CAMP-272,1,2025-06-09T00:18:23,"Seanstad, Faroe Islands",desktop
41f665d2-8ee0-4f5c-9793-7c4f032f2db1,ed912ea7-3eca-4203-a634-63bac7d7e253,AD-9576,CAMP-418,1,2025-06-27T03:16:47,"New Brittney, Mozambique",desktop
71748b1e-04eb-4eaf-aaa9-1ff360a52dca,9d8672e6-c5ba-4e64-98a2-7b7af3e441bb,AD-6079,CAMP-510,1,2025-06-09T06:26:19,"West Robertville, Swaziland",mobile
1083e353-5a6b-453a-bbe9-2fd49c5a031a,d76801cf-bdac-40b0-9920-f5d5b4fbe880,AD-6226,CAMP-210,1,2025-06-12T13:25:17,"Riggston, Costa Rica",mobile
9f60595d-6082-4b7e-bd8c-68d2510dbde1,5397260e-2bba-4287-851b-e029d0c92ab0,AD-7545,CAMP-984,1,2025-07-04T11:25:00,"Brendaburgh, Guernsey",desktop
489fc534-4391-4a87-b7e5-fd832ce20289,18c96d5a-5789-4d4a-9d97-a66cd9520707,AD-9844,CAMP-613,1,2025-06-18T01:59:18,"Lisaport, Western Sahara",mobile
de9d6b79-5a7e-4026-858c-c4075e4b88af,edb55132-88ed-4c7f-b110-a5a1b50782b8,AD-7131,CAMP-568,1,2025-06-26T13:11:26,"New Saraton, Northern Mariana Islands",mobile
f81dd574-96d4-4441-8507-b2adaf1acf03,a1f0d798-d28b-4d7b-8a90-19146af49041,AD-2580,CAMP-303,1,2025-06-21T04:15:54,"South Brandonside, Uzbekistan",desktop
